battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,px_height,px_width,ram,talk_time,touch_screen,wifi,price_range
1101,0,1.8,0,0,0,31,0.2,148,2,387,1269,2196,19,1,1,Mid_Low
1461,0,2.4,1,3,1,40,0.5,141,7,1265,1298,3799,4,0,0,High
1216,0,3,0,4,0,47,0.4,199,3,1852,1967,2268,4,1,1,Mid
506,0,1.6,0,6,1,41,0.8,159,1,875,1025,2965,15,0,0,Mid
843,1,0.5,0,1,1,56,0.1,147,5,140,800,2341,20,1,1,Mid_Low
742,0,2.2,1,4,0,56,0.2,190,7,577,1359,3557,12,1,1,High
1692,1,2.1,0,3,1,61,0.9,176,6,975,1996,1354,19,0,0,Mid_Low
1485,0,1,0,2,1,32,0.7,84,2,510,1013,2147,11,1,0,Mid
1547,0,2.9,1,6,0,45,0.7,166,2,583,590,505,3,1,1,Low
1692,0,2.3,1,4,1,46,0.9,139,1,674,1925,1394,6,1,0,Mid_Low
637,0,2.3,0,3,1,60,0.8,97,4,1125,1989,374,8,0,1,Low
1224,0,0.5,0,16,1,6,0.4,109,6,747,826,506,11,1,1,Low
1356,0,2.8,0,0,0,29,0.5,198,6,1612,1983,3702,19,0,0,High
1840,0,0.5,1,12,0,34,0.7,142,1,311,1545,1078,10,0,0,Mid_Low
1481,1,0.7,1,4,1,37,0.6,96,5,116,1533,2945,16,1,1,Mid
961,1,1.5,1,10,0,51,0.3,152,6,554,621,2981,7,1,1,Mid
1296,0,0.9,1,0,1,14,0.5,124,5,811,1272,490,4,1,1,Low
1193,0,0.9,0,11,0,26,0.5,166,1,730,1729,536,4,0,1,Low
517,0,1.4,1,3,1,33,0.8,183,4,660,974,3704,11,0,1,High
748,1,1.7,0,0,1,27,0.9,150,8,450,1554,2126,7,0,0,Mid_Low
1572,0,0.6,0,0,1,58,0.2,157,7,1109,1937,2462,10,0,0,High
1569,0,2.8,1,17,0,44,0.3,110,4,45,1942,1260,17,0,0,Mid_Low
1270,1,0.6,1,2,1,32,0.5,101,7,299,845,3770,13,1,0,High
1854,0,3,0,2,1,8,0.1,101,5,506,627,1886,20,1,0,Mid_Low
534,0,0.5,1,0,1,16,1,189,5,393,1199,3926,20,0,0,High
685,0,0.5,0,2,0,29,0.8,93,7,433,648,728,4,0,1,Low
1949,0,1.3,1,0,0,23,0.1,101,5,839,1136,2478,20,0,0,High
801,1,2.2,1,2,0,63,0.4,165,7,650,879,1617,19,0,1,Mid_Low
703,1,2.7,0,12,1,30,0.3,113,1,218,1065,1472,7,0,0,Low
1165,1,2.4,0,11,0,41,0.2,178,6,564,831,764,15,0,0,Low
959,1,2.6,1,15,0,20,1,84,4,561,1631,3965,6,0,0,High
1502,1,1.2,0,0,0,54,0.2,138,5,65,588,3693,16,1,0,High
1380,1,2.1,1,1,1,4,0.8,92,3,420,500,797,15,1,0,Low
1934,1,2.6,1,0,1,46,0.1,103,1,619,1299,2940,2,1,1,High
1905,1,0.5,0,3,1,6,0.5,151,1,849,898,1545,10,1,0,Mid_Low
1831,0,1.4,1,2,0,43,0.9,150,5,611,1381,3834,13,1,1,High
596,0,1.4,0,8,0,46,0.6,165,1,953,984,2505,15,1,0,Mid_Low
1490,1,0.5,1,4,1,64,0.3,150,8,1417,1464,3600,7,1,1,High
1523,1,2.4,0,5,1,57,0.2,117,2,247,539,3971,10,1,1,High
1308,0,1.9,0,0,1,61,0.7,106,3,59,1215,3355,4,0,1,High
609,0,0.5,0,3,0,26,0.3,93,4,938,1948,1866,14,1,1,Mid_Low
1905,0,0.6,1,9,1,36,0.4,119,3,825,1542,1287,16,0,0,Mid_Low
1703,1,0.5,0,0,1,22,0.6,192,1,286,1235,1046,13,0,1,Low
1445,1,2.4,1,7,1,20,0.4,173,7,1273,1345,1441,13,1,1,Mid_Low
1087,0,1.3,0,0,1,16,0.3,166,3,295,589,690,6,0,1,Low
1265,0,1.5,0,7,0,49,0.7,182,5,690,836,1362,12,0,1,Mid_Low
664,1,1.1,1,1,1,51,0.1,110,7,701,1478,3629,6,1,1,High
1277,1,0.5,1,0,1,35,0.4,142,6,309,1460,3559,6,1,0,High
1049,1,2.2,0,9,0,63,0.5,135,5,199,1077,1022,13,0,0,Low
903,0,1,1,0,1,50,0.4,91,1,1230,1235,711,10,1,0,Low
1987,1,0.5,0,3,1,53,1,181,3,1052,1516,3117,8,1,1,High
1154,0,1.2,1,0,1,49,0.2,181,8,541,1499,978,7,0,1,Low
1336,0,0.9,0,5,1,17,0.2,194,5,55,583,1869,16,1,1,Mid_Low
1886,0,0.5,0,0,1,24,0.4,112,3,809,1958,1179,20,0,1,Mid_Low
1551,0,1.1,0,4,0,51,0.1,88,5,1738,1995,3844,4,1,0,High
850,1,1.6,1,6,1,29,0.5,133,5,404,642,593,10,0,1,Low
660,0,0.5,0,5,1,40,0.5,111,2,262,1178,588,18,1,1,Low
1225,1,2.1,1,8,0,13,0.5,116,4,759,1404,3836,11,0,0,High
1686,1,2.8,1,3,0,38,0.1,166,4,397,1453,2958,2,0,0,High
1634,1,1.4,0,1,1,17,0.2,200,2,964,1677,3031,6,1,1,High
1708,1,2.4,1,18,1,49,0.1,109,1,233,517,3388,16,1,1,High
1689,0,1.8,0,17,0,24,0.3,127,3,954,1200,2766,7,1,1,High
1488,0,0.5,0,1,0,39,0.8,112,5,1528,1647,3054,19,0,0,High
1313,1,1.8,1,4,0,9,0.4,105,1,416,1308,3791,6,1,1,High
1715,0,1,1,4,1,31,0.5,83,8,638,1615,625,13,0,0,Low
1442,0,1,1,0,0,27,0.1,192,3,231,687,2227,20,1,0,Mid_Low
1523,1,1.8,0,6,1,11,0.1,129,1,148,1606,707,19,1,0,Low
1133,0,1.4,0,3,0,42,0.1,199,5,730,1543,1457,20,0,1,Mid_Low
1718,1,2.5,1,14,1,6,0.1,183,5,564,980,3755,8,1,1,High
1330,0,0.5,0,0,0,38,1,183,7,1290,1441,1733,11,0,1,Mid_Low
1799,1,0.5,0,0,0,49,0.4,107,4,632,1383,720,11,1,1,Low
822,1,0.5,0,0,1,51,0.3,157,6,667,860,3846,3,0,0,High
1891,0,2.8,0,7,1,37,0.4,129,7,169,1108,3704,11,0,0,High
1373,1,1,1,2,0,50,0.2,127,7,105,673,3800,14,0,0,High
862,1,0.8,1,3,0,23,0.4,165,2,793,1758,278,11,0,1,Low
1273,0,1,0,3,1,48,0.4,99,4,490,886,1767,11,1,0,Mid_Low
957,1,2.5,0,4,0,7,0.8,107,5,1201,1485,1846,7,0,1,Mid_Low
1617,1,1.3,1,3,1,30,0.7,105,2,246,1038,829,10,0,0,Low
708,1,2.7,1,0,1,63,1,195,8,78,654,2169,7,1,1,Mid_Low
835,0,1.1,1,2,0,7,0.2,101,4,323,1604,1181,15,1,1,Low
1450,1,2.7,1,9,0,19,0.6,131,1,707,1882,575,12,0,0,Low
601,1,1.4,0,4,1,4,0.1,154,4,356,765,532,10,1,1,Low
507,1,0.5,1,1,0,32,0.5,141,7,936,1398,1702,5,1,1,Mid_Low
564,0,1.8,1,0,1,51,0.5,168,3,912,1980,1074,15,1,0,Low
1559,1,1.6,1,6,1,6,0.5,162,6,179,1559,3352,3,1,1,High
754,0,0.5,1,7,1,59,0.7,178,7,1914,1928,1027,5,0,0,Mid_Low
728,0,2.7,1,0,0,25,0.2,88,4,526,1529,2039,12,1,1,Mid_Low
1431,1,0.5,0,0,1,56,0.6,191,1,156,952,461,8,0,0,Low
767,0,1.5,0,4,0,28,0.7,175,4,344,1517,527,15,1,0,Low
1722,0,2.6,0,8,0,18,0.8,177,2,865,1741,3271,15,0,1,High
1992,1,1.6,0,5,1,57,1,100,2,1552,1596,606,4,1,1,Mid_Low
1876,0,0.5,0,10,1,40,0.3,86,6,546,1564,2513,16,1,0,High
1066,0,0.6,0,2,1,7,0.9,114,7,1242,1571,468,6,1,0,Low
730,0,2.1,1,0,1,4,0.1,89,8,302,1247,1210,4,1,1,Low
1053,1,0.8,1,7,1,45,0.3,103,1,594,1767,3086,5,1,1,High
1662,0,0.5,0,0,1,61,0.8,126,4,32,1509,3760,13,1,1,High
538,0,0.8,0,12,1,2,0.8,177,7,235,662,417,9,0,1,Low
823,1,0.5,0,0,0,39,0.4,187,8,630,888,294,11,0,1,Low
1733,1,2.8,0,3,1,36,1,119,6,357,527,3576,9,0,0,High
1429,0,1.5,1,0,1,40,0.9,100,3,246,820,3945,18,0,1,High
612,1,1.9,1,6,0,16,0.3,102,7,1360,1891,3161,3,0,0,High
1563,0,2.4,0,0,1,24,0.2,170,8,142,1699,3660,5,1,0,High
1893,1,2.1,1,8,0,63,0.2,134,2,637,763,3822,18,1,1,High
1563,0,1.7,1,10,0,16,0.1,151,7,410,572,3922,8,0,1,High
1517,0,0.5,0,6,1,48,0.6,143,5,802,1489,2822,11,1,1,High
832,0,1.6,1,1,1,34,0.3,108,5,311,1294,447,12,1,0,Low
1595,1,2.6,0,7,0,12,0.3,121,8,344,655,3608,16,1,0,High
928,1,0.5,1,11,0,56,0.7,80,8,221,1243,666,5,1,0,Low
1937,1,1.7,0,17,0,58,0.6,189,1,1728,1767,3321,14,1,0,High
977,1,1.1,1,2,0,57,0.6,181,6,63,566,1206,8,1,1,Low
768,1,0.9,0,16,1,56,0.1,113,1,418,515,952,16,0,1,Low
1464,1,0.5,1,11,0,12,0.9,117,2,854,1168,3927,15,1,1,High
1177,0,0.9,0,1,1,29,0.4,191,2,178,882,311,19,0,0,Low
1530,0,2,0,11,0,42,0.8,177,6,454,1975,725,19,0,1,Low
1414,1,1.5,1,5,0,44,0.5,180,2,44,1118,3490,13,1,0,High
894,0,0.5,1,1,1,50,0.5,199,3,1285,1462,3615,6,0,1,High
645,0,1.2,0,6,1,41,0.7,184,8,741,1130,714,13,1,0,Low
1163,0,2.8,1,0,0,49,0.6,155,2,520,754,2768,12,0,1,Mid
1126,0,0.7,0,3,0,49,0.9,165,8,114,1726,3739,13,0,0,High
1170,1,0.9,0,6,1,14,0.4,199,2,474,709,715,20,0,1,Low
508,0,0.8,0,7,1,42,0.3,94,1,39,557,663,7,0,0,Low
728,0,1.7,1,0,1,5,0.6,101,2,584,775,834,5,1,0,Low
1980,0,0.5,1,2,1,29,0.8,177,1,312,1910,3865,18,0,0,High
1504,0,2.3,1,1,0,64,0.9,182,1,19,1923,3059,10,1,0,High
1379,1,2.1,1,14,1,63,1,83,1,207,1370,651,7,1,0,Low
1698,0,2.1,0,5,1,18,0.9,160,6,363,994,796,14,0,1,Low
920,0,2.1,1,5,0,25,0.4,115,7,209,1078,785,5,1,1,Low
1144,1,1.5,1,0,0,21,0.4,189,1,159,724,3252,8,0,0,Mid
1430,0,0.5,1,1,0,27,0.5,183,1,1132,1182,2832,15,1,1,Mid
1882,1,1.3,1,8,0,47,0.2,140,2,119,652,2500,11,0,1,Mid
803,0,0.8,1,0,0,18,0.3,106,4,627,935,2801,12,1,0,Mid
580,1,1.2,1,0,0,47,0.9,91,3,1086,1345,3451,11,1,0,High
668,0,2.3,0,2,1,48,0.3,114,1,195,1292,1201,4,1,0,Low
1391,0,1.4,0,2,1,36,0.8,182,1,14,1256,3139,14,1,0,Mid
1560,0,2.3,0,0,1,22,0.8,169,7,745,1364,1938,16,1,1,Mid
821,0,1.8,1,5,0,54,0.1,109,3,253,1786,3185,15,0,0,Mid
1989,1,2.9,1,8,0,17,0.1,193,8,629,682,2369,18,1,0,Mid
1034,1,2.7,1,6,0,37,0.7,120,7,707,1199,3625,12,1,1,High
618,0,2.1,0,2,0,6,0.3,86,1,1314,1688,1051,15,0,1,Low
576,1,2.8,0,2,1,10,0.2,184,5,513,1438,2938,5,1,1,Mid
667,1,0.6,0,6,1,3,0.7,185,6,13,1463,2855,19,0,1,Mid
869,1,1,0,7,1,57,0.6,118,1,1243,1584,2727,8,0,0,Mid
635,1,0.5,1,2,0,42,0.4,149,3,300,1059,2973,18,0,1,Mid
1557,0,2.8,1,16,0,2,0.1,123,5,1107,1442,2690,9,0,1,High
1604,1,1.7,0,2,0,33,1,191,8,134,939,916,12,1,1,Low
1182,0,0.5,0,7,1,8,0.5,138,8,275,986,2563,19,0,0,Mid
848,1,2.1,1,10,1,19,0.8,148,7,176,1029,3359,14,0,0,Mid
1828,1,2.1,1,0,0,17,0.9,199,1,336,898,2280,4,0,0,Mid
880,0,2,1,1,1,50,0.5,194,7,1116,1381,827,6,0,1,Low
1394,1,0.9,1,10,1,62,0.3,175,5,1010,1565,473,20,1,0,Low
1960,1,2.3,1,1,1,61,0.3,86,7,205,1299,3865,11,0,0,High
899,0,0.5,1,13,1,57,0.9,172,2,788,1331,364,7,1,0,Low
1976,1,0.7,1,4,0,32,0.8,171,2,1301,1922,3699,13,1,1,High
879,0,1.5,1,0,1,21,0.8,187,4,463,1038,2927,11,0,1,Mid
916,1,2.6,0,0,0,36,0.3,195,4,188,992,1470,14,1,0,Low
763,0,1.7,1,8,1,2,0.5,92,8,1028,1186,1050,8,1,0,Low
508,0,1.6,1,0,0,9,0.4,162,6,1419,1920,2616,10,1,1,Mid
825,0,2.9,1,0,0,34,0.8,99,8,1471,1866,2915,10,1,0,High
1864,0,1.4,0,8,1,46,0.7,178,1,168,981,2686,18,1,1,Mid
1108,1,2.9,0,10,0,52,0.1,183,2,130,1706,3264,13,1,1,High
1703,1,1.5,1,17,1,55,0.7,138,5,1411,1711,2993,20,1,1,High
1067,1,1.7,1,0,0,58,0.5,135,7,79,681,706,16,1,0,Low
1334,1,2.4,0,5,1,42,0.6,115,5,1187,1974,2542,8,0,0,High
775,1,2.6,0,0,0,30,0.4,189,7,561,1510,2523,9,0,1,Mid
1899,1,0.6,0,0,0,26,0.1,151,2,96,814,336,4,0,1,Low
1058,0,1.5,0,2,0,19,0.4,166,4,493,1247,418,16,0,1,Low
1187,1,2.2,0,0,1,46,0.4,145,2,1173,1814,3917,8,0,1,High
1482,0,0.5,0,2,0,48,0.2,142,7,634,642,2971,12,1,1,Mid
1809,1,1.7,0,3,1,59,0.1,174,3,639,721,2324,16,0,1,Mid
864,1,3,1,0,1,54,0.7,187,2,127,1670,3121,16,1,1,Mid
625,1,1.9,0,12,1,33,0.2,191,1,431,550,3801,2,0,0,Mid
1880,1,1.8,0,4,1,18,0.7,138,3,71,699,3333,7,0,0,High
1138,0,1.4,0,12,1,44,0.2,187,8,111,1138,3475,3,0,0,High
1117,0,0.5,0,1,0,12,0.6,144,7,798,817,2895,16,1,0,Mid
1712,0,1.4,0,1,0,63,0.5,137,7,747,1126,3652,19,0,0,High
1836,1,1.7,1,3,0,26,0.1,134,6,408,1139,3097,18,1,0,High
1860,1,2.3,0,15,0,23,0.6,162,4,1362,1506,3918,8,1,0,High
1375,1,1.1,0,3,1,9,0.9,145,7,475,726,3869,10,1,1,High
1896,0,0.5,1,8,1,7,0.4,141,2,447,794,3684,18,0,0,High
788,0,2.5,1,4,1,57,0.9,91,8,42,1161,3969,6,1,1,High
880,1,1.7,1,0,0,33,0.7,173,2,30,1350,1414,7,1,0,Low
1868,0,2,1,0,1,42,0.2,169,1,347,660,3131,7,1,1,High
1266,0,1.9,1,0,1,7,0.2,184,3,346,1468,2532,4,1,1,Mid
1042,0,2.7,1,16,1,50,0.8,93,7,727,1705,3215,20,1,1,High
1479,0,0.5,0,8,0,19,0.6,156,3,180,1476,3323,6,0,1,High
1476,1,1.2,1,0,1,55,0.1,171,4,1641,1666,1529,3,0,1,Mid
1552,1,2.2,0,6,1,13,0.2,123,6,269,1026,2403,9,1,1,Mid
1454,1,0.5,1,1,0,34,0.7,83,4,250,1033,3419,5,1,0,High
1007,0,2,0,0,0,45,0.1,95,5,1186,1529,3648,16,0,0,High
652,1,2.4,1,9,1,17,0.7,173,5,77,559,1974,12,0,0,Low
1504,0,1.5,0,12,1,34,0.7,142,8,507,973,2806,7,0,1,Mid
1726,1,0.9,1,2,0,51,0.6,193,4,379,1223,2239,13,0,1,Mid
1029,1,1.9,1,5,1,5,0.2,171,5,264,956,582,4,1,1,Low
1582,0,2.8,0,2,1,44,0.5,112,6,1486,1797,3890,10,1,1,High
1178,1,1.3,0,0,0,49,0.6,101,5,579,596,2511,17,0,0,Mid
707,0,2.1,1,2,0,25,0.8,131,3,495,574,3838,7,0,1,High
755,1,2.8,0,5,1,51,0.3,186,4,315,990,2734,16,0,1,Mid
914,1,0.9,0,2,0,4,0.8,100,2,191,1495,808,5,1,0,Low
1178,0,2.2,1,6,0,57,0.3,84,3,96,1352,2492,10,1,0,Mid
