price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,bedrooms^2,bathrooms^2,sqft_living^2,sqft_lot^2,floors^2,waterfront^2,view^2,condition^2,grade^2,sqft_above^2,sqft_basement^2,yr_built^2,yr_renovated^2,lat^2,long^2,sqft_living15^2,sqft_lot15^2
230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,47.3343,-122.306,1280,8850,9,1,1562500,95531076,1,0,0,16,49,1562500,0,3876961,0,2240.535956,14958.75764,1638400,78322500
385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,47.7025,-122.341,1400,4980,16,3.0625,2624400,24800400,1,0,0,16,49,739600,577600,3790809,0,2275.528506,14967.32028,1960000,24800400
2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,47.5316,-122.233,4110,20336,9,7.5625,9302500,2013047689,1,0,16,9,81,5428900,518400,3873024,0,2259.252999,14940.90629,16892100,413552896
285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,47.3266,-122.169,2240,7005,25,6.25,5152900,39690000,4,0,0,9,64,5152900,0,3980025,0,2239.807068,14925.26456,5017600,49070025
252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,47.3533,-122.166,1220,8386,4,2.25,1144900,92987449,1,0,0,9,49,1144900,0,3940225,0,2242.335021,14924.53156,1488400,70324996
329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,47.3739,-122.172,2200,6865,9,5.0625,6002500,42250000,4,0,0,16,64,6002500,0,3940225,0,2244.286401,14925.99758,4840000,47128225
233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,47.3048,-122.218,1030,4705,9,4,2924100,22061809,2.25,0,0,25,36,2924100,0,3767481,0,2237.744103,14937.23952,1060900,22137025
937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,47.6386,-122.36,1760,3573,9,3.0625,6002500,7241481,4,0,0,9,64,3062500,490000,3667225,0,2269.43621,14971.9696,3097600,12766329
667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,47.6221,-122.314,1860,3861,9,1,1960000,2499561,2.25,0,0,25,64,1960000,0,3644281,0,2267.864408,14960.7146,3459600,14907321
438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,47.695,-122.304,1520,6235,9,3.0625,2310400,40704400,1,0,0,9,49,624100,532900,3794704,0,2274.813025,14958.26842,2310400,38875225
719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,47.7073,-122.11,2630,6026,16,6.25,6604900,51451929,4,0,0,9,64,6604900,0,4020025,0,2275.986473,14910.8521,6916900,36312676
580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,47.5391,-122.07,2580,3980,9,6.25,5382400,15840400,4,0,0,9,64,5382400,0,4012009,0,2259.966029,14901.0849,6656400,15840400
280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,47.7274,-122.357,1390,1756,4,2.25,1416100,1600225,9,0,0,9,49,1416100,0,4020025,0,2277.904711,14971.23545,1932100,3083536
687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,47.6823,-122.368,1460,5000,16,3.0625,5428900,25000000,2.25,0,0,16,49,2280100,672400,3721041,0,2273.601733,14973.92742,2131600,25000000
535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,47.6889,-122.375,1570,5080,9,1,1188100,9000000,2.25,0,0,16,64,1188100,0,3721041,0,2274.231183,14975.64063,2464900,25806400
322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,47.4276,-122.157,2020,8720,16,7.5625,4243600,44342281,1,0,0,9,49,1638400,608400,3924361,0,2249.377242,14922.33265,4080400,76038400
696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,47.6827,-122.31,1590,3264,9,6.25,5290000,9363600,2.25,0,0,9,64,2280100,624100,3724900,4008004,2273.639879,14959.7361,2528100,10653696
550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,47.6621,-122.132,2160,11467,16,1,2755600,1214383104,1,0,0,1,25,864900,532900,3736489,0,2271.675776,14916.22542,4665600,131492089
640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,47.6702,-122.362,1730,4700,16,4,5569600,36000000,4,0,0,16,64,5569600,0,3625216,0,2272.447968,14972.45904,2992900,22090000
240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,47.3341,-122.282,1290,7800,16,1,1488400,65205625,1,0,0,4,49,792100,108900,3876961,0,2240.517023,14952.88752,1664100,60840000
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,47.5301,-122.18,2620,11884,16,6.25,6864400,57047809,4,0,0,9,64,6864400,0,3984016,0,2259.110406,14927.9524,6864400,141229456
625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,47.6145,-122.027,2470,5669,16,6.25,6604900,30470400,4,0,0,9,81,6604900,0,4000000,0,2267.14061,14890.58873,6100900,32137561
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,47.445,-122.347,2410,30617,16,5.0625,17808400,584962596,1,0,0,9,64,6760000,2624400,3936256,0,2251.028025,14968.78841,5808100,937400689
861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,47.6848,-122.016,3625,5639,25,7.5625,12924025,31798321,4,0,0,9,81,12924025,0,4056196,0,2273.840151,14887.90426,13140625,31798321
685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,47.6413,-122.364,1580,2640,9,1,2464900,5198400,4,0,0,9,49,2464900,0,3694084,0,2269.693466,14972.9485,2496400,6969600
309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,47.4485,-122.175,1340,8808,9,1,1638400,93238336,1,0,0,16,36,846400,129600,3837681,0,2251.360152,14926.73063,1795600,77580864
488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,47.7443,-121.977,3050,9232,9,6.25,9985600,185041609,4,0,0,9,64,9985600,0,4012009,0,2279.518182,14878.38853,9302500,85229824
210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,47.3066,-122.371,1228,8840,9,1,980100,72726784,1,0,0,9,36,980100,0,3865156,0,2237.914404,14974.66164,1507984,78145600
785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,47.6194,-122.151,2680,13685,16,6.25,5244100,179989056,4,0,0,16,81,5244100,0,3924361,0,2267.607256,14920.8668,7182400,187279225
450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,47.6796,-122.301,970,5100,9,3.0625,1562500,35557369,1,0,0,16,49,1562500,0,3814209,0,2273.344256,14957.5346,940900,26010000
1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,47.4041,-122.451,2680,72513,9,6.25,7579009,4225650025,1,1,4,25,81,4687225,345744,3814209,0,2247.148697,14994.2474,7182400,5258135169
228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,47.4258,-122.322,1190,9364,9,1,1416100,84621601,1,0,0,9,49,1416100,0,3822025,0,2249.206506,14962.67168,1416100,87684496
345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,47.4934,-122.189,1990,9133,25,6.25,9922500,83429956,1,0,0,16,64,2689600,2280100,3865156,0,2255.623044,14930.15172,3960100,83411689
600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,47.6808,-122.384,1410,4080,9,3.0625,1988100,16646400,1,0,0,16,49,1000000,168100,3802500,0,2273.458689,14977.84346,1988100,16646400
585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,47.6989,-122.369,1480,6738,4,3.0625,3920400,73102500,1,0,0,9,49,980100,980100,3924361,0,2275.185061,14974.17216,2190400,45400644
920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,47.6571,-122.281,2730,6000,25,5.0625,7452900,36000000,2.25,0,0,9,64,4536900,360000,3713329,0,2271.19918,14952.64296,7452900,36000000
885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,47.6597,-122.29,1950,5000,16,6.25,8008900,25000000,4,0,0,9,81,8008900,0,3980025,0,2271.447004,14954.8441,3802500,25000000
292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,47.3663,-122.114,2250,4500,16,6.25,5062500,20205025,4,0,0,9,49,5062500,0,4032064,0,2243.566376,14911.829,5062500,20250000
301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,47.3663,-122.122,2690,4750,9,6.25,5856400,22562500,4,0,0,9,64,5856400,0,4012009,0,2243.566376,14913.78288,7236100,22562500
951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,47.588,-122.116,2960,11044,25,10.5625,10562500,205692964,4,0,16,16,64,10562500,0,3873024,0,2264.617744,14912.31746,8761600,121969936
430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,47.5059,-122.149,2270,8542,16,9,3422500,99520576,4,0,0,9,64,3422500,0,3964081,0,2256.810535,14920.3782,5152900,72965764
650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,47.4336,-122.339,2570,18900,9,5.0625,4622500,450925225,1,0,9,16,64,2528100,313600,3837681,0,2249.946409,14966.83092,6604900,357210000
289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,47.4366,-122.335,1290,8750,9,3.0625,1587600,70560000,1,0,0,9,49,1587600,0,3818116,0,2250.23102,14965.85223,1664100,76562500
505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,47.4428,-122.344,2500,9500,9,3.0625,6345361,75516100,4,0,0,25,64,6345361,0,3892729,0,2250.819272,14968.05434,6250000,90250000
549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,47.6765,-122.32,1580,3090,9,3.0625,2371600,1089936,9,0,0,9,64,2371600,0,4056196,0,2273.048652,14962.1824,2496400,9548100
425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,47.6113,-122.297,1440,4080,9,5.0625,2755600,36000000,1,0,0,9,49,1232100,302500,3916441,0,2266.835888,14956.55621,2073600,16646400
317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,47.5747,-122.304,1440,4000,9,7.5625,7672900,14508481,2.25,0,0,25,49,3132900,1000000,3705625,0,2263.35208,14958.26842,2073600,16000000
975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,47.5815,-122.192,2750,11049,16,6.25,7398400,122080401,4,0,0,9,100,7398400,0,3956121,0,2263.999142,14930.88486,7562500,122080401
287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,47.3378,-122.257,2221,4557,16,6.25,5017600,21603904,4,0,0,9,49,5017600,0,4020025,0,2240.867309,14946.77405,4932841,20766249
204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,47.3621,-122.11,1010,12635,9,1,1000000,145684900,1,0,0,16,49,1000000,0,3873024,0,2243.168516,14910.8521,1020100,159643225
1.33E+06,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,47.6303,-122.215,3390,20158,25,5.0625,10240000,406344964,1,0,0,9,64,2560000,2560000,3861225,0,2268.645478,14936.50623,11492100,406344964
1.04E+06,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,47.6525,-122.16,3530,38917,25,10.5625,22752900,2509408836,1,0,0,16,121,9424900,2890000,3892729,0,2270.760756,14923.0656,12460900,1514532889
325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,47.7362,-122.179,1640,4745,9,4,1587600,31494544,1,0,0,16,49,1587600,0,3888784,0,2278.74479,14927.70804,2689600,22515025
571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,47.7168,-122.287,1510,7807,16,4,7562500,60949249,2.25,0,0,25,49,5062500,250000,3671056,0,2276.893002,14954.11037,2280100,60949249
360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,47.3608,-122.036,2420,5000,16,6.25,5664400,25000000,4,0,0,9,64,5664400,0,4020025,0,2243.045377,14892.7853,5856400,25000000
349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,47.3511,-122.073,1940,50529,9,3.0625,3204100,2553179841,1,0,0,25,49,1188100,490000,3861225,0,2242.126671,14901.81733,3763600,2553179841
832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,47.5822,-121.987,3240,35020,16,16,11764900,1232150404,4,0,0,16,100,5712100,1081600,3944196,0,2264.065757,14880.82817,10497600,1226400400
380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,47.6034,-122.125,1680,7500,16,3.0625,3097600,53290000,1,0,0,9,49,774400,774400,3825936,0,2266.083692,14914.51563,2822400,56250000
480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,47.5636,-122.394,890,5060,9,1,1081600,25603600,1,0,0,9,49,1081600,0,3767481,0,2262.296045,14980.29124,792100,25603600
410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,47.7073,-122.34,1130,5693,9,1,1988100,25603600,1,0,0,16,49,828100,250000,3825936,0,2275.986473,14967.0756,1276900,32410249
720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,47.342,-122.025,3350,39750,16,6.25,11902500,1574740489,4,0,0,9,100,11902500,0,4008004,0,2241.264964,14890.10063,11222500,1580062500
390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,47.3512,-122.008,2350,5363,9,6.25,5522500,26010000,4,0,0,9,64,5522500,0,4012009,0,2242.136141,14885.95206,5522500,28761769
360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,47.349,-122.031,1870,6405,16,6.25,3610000,34680321,4,0,0,9,49,3610000,0,3968064,0,2241.927801,14891.56496,3496900,41024025
355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,47.5474,-122.291,1720,6720,4,1,4080400,45158400,1,0,0,9,49,1020100,1020100,3794704,0,2260.755247,14955.08868,2958400,45158400
356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,47.4811,-122.149,1850,8797,9,2.25,2822400,75898944,1,0,0,9,64,2822400,0,3857296,0,2254.454857,14920.3782,3422500,77387209
315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,47.7264,-122.31,1570,7203,9,1,921600,44009956,1,0,0,9,36,921600,0,3810304,0,2277.809257,14959.7361,2464900,51883209
940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,47.6337,-122.365,2020,4800,9,2.25,4579600,12960000,4,0,0,9,81,3610000,57600,3705625,0,2268.969376,14973.19323,4080400,23040000
305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,47.2909,-122.189,1590,8165,25,5.0625,7075600,70560000,2.25,0,0,25,49,7075600,0,3845521,0,2236.429223,14930.15172,2528100,66667225
461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,47.5228,-122.199,1900,7349,9,10.5625,7672900,39413284,4,0,0,9,81,3920400,624100,4024036,0,2258.41652,14932.5956,3610000,54007801
215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,47.518,-122.194,1950,2025,4,5.0625,2592100,4161600,4,0,0,16,49,2592100,0,3916441,0,2257.960324,14931.37364,3802500,4100625
335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,47.5394,-122.387,1030,1106,4,3.0625,1060900,1136356,4,0,0,9,49,585225,70225,4024036,0,2259.994552,14978.57777,1060900,1223236
243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,47.2897,-122.372,1980,7510,16,6.25,3920400,54804409,4,0,0,9,49,3920400,0,3952144,0,2236.315726,14974.90638,3920400,56400100
1.10E+06,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,47.6506,-122.391,2520,6250,25,7.5625,12390400,40360609,4,0,0,16,100,12390400,0,4004001,0,2270.57968,14979.55688,6350400,39062500
153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,47.322,-122.351,1350,10500,9,1,1440000,110250000,1,0,0,9,49,1440000,0,3849444,0,2239.371684,14969.7672,1822500,110250000
430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,47.687,-122.386,1570,4500,9,2.25,2496400,25000000,1,0,0,9,64,1664100,84100,3759721,0,2274.049969,14978.333,2464900,20250000
700000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,47.687,-122.386,1570,4500,9,2.25,2496400,25000000,1,0,0,9,64,1664100,84100,3759721,0,2274.049969,14978.333,2464900,20250000
905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,47.5873,-122.249,1950,6045,16,6.25,10890000,105062500,1,0,0,9,49,5712100,828100,3786916,3964081,2264.551121,14944.818,3802500,36542025
247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,47.3576,-122.277,1750,15616,9,3.0625,3841600,245893761,1,0,0,9,49,3841600,0,3869089,0,2242.742278,14951.66473,3062500,243859456
199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,47.3036,-122.378,1160,6400,16,2.25,1345600,40960000,1,0,0,16,49,1345600,0,3900625,0,2237.630573,14976.37488,1345600,40960000
314000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,47.4109,-121.958,1650,135036,9,3.0625,3276100,1747240000,1,0,0,25,49,1464100,360000,3920400,0,2247.793439,14873.75376,2722500,18234721296
437500,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,47.4838,-121.714,2550,35065,9,6.25,5382400,1357701409,4,0,4,9,81,5382400,0,3968064,0,2254.711262,14814.2978,6502500,1229554225
850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,47.6415,-122.315,2200,4500,9,6.25,4284900,175324081,2.25,0,0,25,81,1612900,640000,3648100,0,2269.712522,14960.95923,4840000,20250000
555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,0,47.6775,-122.372,1610,3478,9,4,3920400,12096484,2.25,0,0,16,49,2073600,291600,3721041,0,2273.144006,14974.90638,2592100,12096484
699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,47.7731,-122.08,2570,47777,9,5.0625,4796100,11576253649,4,0,0,16,64,4796100,0,3932289,0,2282.269084,14903.5264,6604900,2282641729
1.09E+06,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,47.5814,-122.196,2370,8113,9,6.25,8526400,65820769,4,0,0,9,64,8526400,0,3802500,4040100,2263.989626,14931.86242,5616900,65820769
290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,47.4375,-122.184,1640,14910,9,1,1464100,1150498561,1,0,0,9,49,1464100,0,3818116,0,2250.316406,14928.92986,2689600,222308100
375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,47.4431,-122.133,2250,8162,9,6.25,5475600,100100025,1,0,0,16,64,2131600,774400,3912484,0,2250.847738,14916.46969,5062500,66618244
460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,47.6878,-122.38,1240,4005,9,1,2788900,16040025,2.25,0,0,16,49,1368900,250000,3759721,0,2274.126269,14976.8644,1537600,16040025
188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,47.3813,-122.322,1270,4966,4,3.0625,1537600,6215049,1,0,0,16,64,1537600,0,3940225,0,2244.98759,14962.67168,1612900,24661156
680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,47.7304,-122.082,2990,35001,16,6.25,9859600,786073369,4,0,0,16,100,9859600,0,3964081,0,2278.191084,14904.01472,8940100,1225070001
470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,47.6417,-122.109,2500,9433,25,3.0625,4120900,152324964,4,0,0,16,49,4120900,0,3771364,0,2269.731579,14910.60788,6250000,88981489
597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,47.5386,-122.053,1940,9636,16,6.25,5336100,92621376,4,0,0,9,64,5336100,0,3936256,0,2259.91849,14896.93481,3763600,92852496
570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,47.6823,-122.349,1380,3536,9,3.0625,1587600,11075584,1,0,0,25,36,490000,313600,3629025,0,2273.601733,14969.2778,1904400,12503296
272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,47.3624,-122.031,1540,11656,9,3.0625,2371600,158760000,1,0,0,16,49,1345600,144400,3920400,0,2243.196934,14891.56496,2371600,135862336
329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,47.5474,-122.295,2090,5500,9,3.0625,4326400,35628961,1,0,4,9,49,1166400,1000000,3884841,0,2260.755247,14956.06703,4368100,30250000
480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,47.3183,-122.253,2640,8517,16,6.25,10432900,261501241,4,0,9,9,81,6350400,504100,4004001,0,2239.021515,14945.79601,6969600,72539289
740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,47.6981,-122.368,1830,6350,9,12.25,19184400,40322500,4,0,0,9,64,7728400,2560000,3610000,3996001,2275.108744,14973.92742,3348900,40322500
518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,47.6824,-122.347,1620,3166,9,12.25,2528100,1214404,9,0,0,9,64,2528100,0,4040100,0,2273.61127,14968.78841,2624400,10023556
205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,47.5009,-122.248,1190,6780,4,1,774400,45968400,1,0,0,16,36,774400,0,3783025,0,2256.335501,14944.5735,1416100,45968400
171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,47.4965,-122.303,1880,9000,16,4,2464900,92160000,1,0,0,9,36,2464900,0,3802500,0,2255.917512,14958.02381,3534400,81000000
535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,47.587,-122.294,1610,4040,16,1,2592100,8892324,2.25,0,0,16,49,2592100,0,3705625,0,2264.522569,14955.82244,2592100,16321600
660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,47.7728,-122.386,2340,10856,9,6.25,5760000,41912676,1,0,4,9,64,2433600,705600,3857296,0,2282.24042,14978.333,5475600,117852736
391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,47.7288,-122.226,1580,9104,9,4,2102500,83393424,1,0,0,9,49,2102500,0,3948169,0,2278.038349,14939.19508,2496400,82882816
395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,47.6999,-122.364,1710,6000,4,1,592900,36000000,1,0,0,9,36,592900,0,3814209,0,2275.28046,14972.9485,2924100,36000000
445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,47.5299,-122.266,1850,4400,16,3.0625,4410000,19360000,2.25,0,0,25,49,2958400,144400,3701776,0,2259.091394,14948.97476,3422500,19360000
770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,47.6897,-122.098,2700,13992,9,5.0625,8468100,104121616,4,0,0,9,81,8468100,0,3960100,0,2274.307486,14907.9216,7290000,195776064
1.45E+06,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,47.6141,-122.212,3060,11275,16,7.5625,7562500,316448521,2.25,0,0,9,64,3920400,592900,3663396,3968064,2267.102519,14935.77294,9363600,127125625
